time,temperature,rh,windspd,windir,ws100,pars,vis,flowcapt,windgus
1/4/2022 22:00,-12.72222222,84,7.644384,359.1,6,102,19987,0.001,8.672576
1/4/2022 22:01,-12.72222222,84.1,7.018528,357.4,4,66,19986,0.001,7.867904
1/4/2022 22:02,-12.72222222,84.2,7.510272,1.246,8,85,19988,0.002,8.404352
1/4/2022 22:03,-12.72222222,84.3,7.957312,0.121,14,108,19988,0.003,9.521952
1/4/2022 22:04,-12.72222222,84.3,6.795008,1.162,13,75,19988,0.001,7.644384
1/4/2022 22:05,-12.72222222,84.3,7.8232,355.3,19,118,19988,0.002,8.896096
1/4/2022 22:06,-12.72222222,84.4,7.420864,359.3,14,91,19987,0.001,8.225536
1/4/2022 22:07,-12.72222222,84.5,6.795008,355.5,18,102,19988,0.002,8.002016
1/4/2022 22:08,-12.72222222,84.7,6.884416,353.3,14,83,19987,0.001,7.867904
1/4/2022 22:09,-12.72222222,84.9,7.689088,354.4,24,105,19987,0.002,8.27024
1/4/2022 22:10,-12.72222222,85,7.465568,354.8,25,103,19987,0.003,8.71728
1/4/2022 22:11,-12.77777778,85.1,7.8232,352.4,43,155,19987,0.003,8.538464
1/4/2022 22:12,-12.72222222,85.2,7.778496,357.8,38,148,19987,0.003,8.449056
1/4/2022 22:13,-12.77777778,85.2,7.912608,352.6,41,186,19986,0.005,8.627872
1/4/2022 22:14,-12.77777778,85.3,7.063232,353.9,28,168,19989,0.003,8.449056
1/4/2022 22:15,-12.77777778,85.3,7.331456,355,33,151,19987,0.002,8.180832
1/4/2022 22:16,-12.77777778,85.4,8.672576,350.8,23,188,19987,0.006,9.61136
1/4/2022 22:17,-12.77777778,85.3,8.225536,353,41,211,19986,0.007,9.343136
1/4/2022 22:18,-12.77777778,85.2,8.359648,356.4,21,195,19988,0.006,9.432544
1/4/2022 22:19,-12.77777778,85.2,7.957312,356.4,16,167,19335,0.004,9.521952
1/4/2022 22:20,-12.77777778,85.1,7.286752,352.5,20,116,18157,0.004,8.225536
1/4/2022 22:21,-12.77777778,85.2,7.912608,352.9,23,146,18386,0.006,9.879584
1/4/2022 22:22,-12.77777778,85.2,8.002016,357,33,164,18561,0.006,8.896096
1/4/2022 22:23,-12.72222222,85.2,8.49376,353.8,31,142,19704,0.007,9.432544
1/4/2022 22:24,-12.77777778,85.1,7.286752,349,41,137,19988,0.003,7.957312
1/4/2022 22:25,-12.77777778,85.1,7.867904,349.4,32,211,19527,0.008,8.627872
1/4/2022 22:26,-12.83333333,85,7.063232,351.9,30,160,19335,0.003,8.04672
1/4/2022 22:27,-12.83333333,85,9.030208,350.2,25,367,18227,0.011,10.28192
1/4/2022 22:28,-12.88888889,84.9,8.9408,350.3,38,341,16343,0.013,9.790176
1/4/2022 22:29,-12.88888889,84.9,8.985504,350.9,31,252,14910,0.011,9.700768
1/4/2022 22:30,-12.94444444,84.9,9.298432,350.8,26,217,14135,0.012,10.773664
1/4/2022 22:31,-12.94444444,84.9,9.209024,350.4,27,142,13018,0.008,10.0584
1/4/2022 22:32,-12.94444444,84.9,7.733792,353.6,29,111,14733,0.004,9.343136
1/4/2022 22:33,-12.94444444,85,7.59968,354,19,135,17811,0.003,8.538464
1/4/2022 22:34,-12.94444444,85.1,8.985504,354.8,24,173,18294,0.008,9.83488
1/4/2022 22:35,-12.94444444,85,8.851392,353.8,24,143,18071,0.008,9.61136
1/4/2022 22:36,-12.94444444,84.9,9.298432,350.6,27,168,18240,0.009,10.72896
1/4/2022 22:37,-12.94444444,84.8,8.985504,357.9,20,144,16321,0.01,9.879584
1/4/2022 22:38,-12.94444444,84.8,8.583168,351.3,32,133,14003,0.006,9.83488
1/4/2022 22:39,-12.94444444,84.9,8.538464,350.9,33,153,13895,0.007,10.013696
1/4/2022 22:40,-12.94444444,84.9,7.689088,350.6,15,128,15245,0.004,8.71728
1/4/2022 22:41,-12.94444444,85,7.689088,351,22,126,16822,0.006,10.594848
1/4/2022 22:42,-12.94444444,85.1,8.359648,349.4,24,142,17353,0.006,9.253728
1/4/2022 22:43,-12.94444444,85.1,8.851392,350.9,18,147,17045,0.007,9.656064
1/4/2022 22:44,-12.94444444,85.1,9.030208,350.1,34,165,16253,0.009,10.147808
1/4/2022 22:45,-12.94444444,85.1,8.49376,349.8,28,119,15618,0.01,10.013696
1/4/2022 22:46,-12.94444444,85.1,8.04672,343.7,14,98,15956,0.005,9.879584
1/4/2022 22:47,-12.94444444,85.2,7.867904,351.7,13,88,17237,0.006,9.209024
1/4/2022 22:48,-12.94444444,85.2,7.867904,349.1,28,109,18853,0.005,8.985504
1/4/2022 22:49,-12.94444444,85.1,8.627872,349.7,26,103,19988,0.007,9.16432
1/4/2022 22:50,-13,85.1,8.04672,351.3,15,118,19989,0.006,8.896096
1/4/2022 22:51,-13,85,7.59968,350.2,18,96,19988,0.003,9.16432
1/4/2022 22:52,-13,85,7.778496,346,8,108,19987,0.004,8.71728
1/4/2022 22:53,-13,85.1,8.359648,349,14,128,19987,0.006,8.896096
1/4/2022 22:54,-13,85.1,7.331456,348.9,16,138,19989,0.003,8.002016
1/4/2022 22:55,-13.05555556,85.1,7.197344,344.6,15,105,19989,0.003,7.8232
1/4/2022 22:56,-13.05555556,85.2,8.136128,350.4,9,131,19988,0.007,9.566656
1/4/2022 22:57,-13.05555556,85.2,7.778496,348.7,10,138,19987,0.005,8.449056
1/4/2022 22:58,-13.05555556,85.3,7.867904,347.9,16,112,19988,0.004,8.761984
1/4/2022 22:59,-13.05555556,85.3,7.778496,348.4,24,118,19989,0.005,8.49376
1/4/2022 23:00,-13.05555556,85.4,8.27024,345.1,10,186,18814,0.01,10.103104
1/4/2022 23:01,-13.05555556,85.4,8.9408,345.1,8,153,17510,0.01,9.790176
1/4/2022 23:02,-13.05555556,85.3,8.896096,343,13,185,15540,0.011,10.013696
